,Location,Local_Time,Violations,Event_ID
0,UK,2020-10-02 21:48:43,0,163
1,UK,2020-10-02 21:48:43,0,164
2,UK,2020-10-02 21:48:44,2,165
3,UK,2020-10-02 21:48:45,2,166
4,UK,2020-10-02 21:48:46,2,167
5,UK,2020-10-02 21:48:46,2,168
6,UK,2020-10-02 21:48:47,2,169
7,UK,2020-10-02 21:48:48,2,170
8,UK,2020-10-02 21:48:48,4,171
9,UK,2020-10-02 21:48:49,4,172
10,UK,2020-10-02 21:48:50,4,173
11,UK,2020-10-02 21:48:50,4,174
12,UK,2020-10-02 21:48:51,4,175
13,UK,2020-10-02 21:48:52,4,176
14,UK,2020-10-02 21:48:52,2,177
15,UK,2020-10-02 21:48:53,2,178
16,UK,2020-10-02 21:48:54,2,179
17,UK,2020-10-02 21:48:54,2,180
18,UK,2020-10-02 21:48:55,2,181
19,UK,2020-10-02 21:48:56,2,182
20,UK,2020-10-02 21:48:56,2,183
21,UK,2020-10-02 21:48:57,2,184
22,UK,2020-10-02 21:48:57,2,185
23,UK,2020-10-02 21:48:58,0,186
24,UK,2020-10-02 21:48:59,0,187
25,UK,2020-10-02 21:48:59,2,188
26,UK,2020-10-02 21:49:00,2,189
27,UK,2020-10-02 21:49:01,2,190
28,UK,2020-10-02 21:49:01,7,191
29,UK,2020-10-02 21:49:02,7,192
30,UK,2020-10-02 21:49:02,7,193
31,UK,2020-10-02 21:49:03,8,194
32,UK,2020-10-02 21:49:04,8,195
33,UK,2020-10-02 21:49:04,8,196
34,UK,2020-10-02 21:49:05,8,197
35,UK,2020-10-02 21:49:06,8,198
36,UK,2020-10-02 21:49:06,8,199
37,UK,2020-10-02 21:49:07,8,200
38,UK,2020-10-02 21:49:08,9,201
39,UK,2020-10-02 21:49:08,8,202
40,UK,2020-10-02 21:49:09,6,203
41,UK,2020-10-02 21:49:09,8,204
42,UK,2020-10-02 21:49:10,8,205
43,UK,2020-10-02 21:49:11,8,206
44,UK,2020-10-02 21:49:11,8,207
45,UK,2020-10-02 21:49:12,10,208
46,UK,2020-10-02 21:49:12,8,209
47,UK,2020-10-02 21:49:13,9,210
48,UK,2020-10-02 21:49:14,9,211
49,UK,2020-10-02 21:49:14,8,212
50,UK,2020-10-02 21:49:15,8,213
51,UK,2020-10-02 21:49:16,8,214
52,UK,2020-10-02 21:49:16,8,215
53,UK,2020-10-02 21:49:17,8,216
54,UK,2020-10-02 21:49:17,7,217
55,UK,2020-10-02 21:49:18,8,218
56,UK,2020-10-02 21:49:19,8,219
57,UK,2020-10-02 21:49:20,8,220
58,UK,2020-10-02 21:49:20,8,221
59,UK,2020-10-02 21:49:21,6,222
60,UK,2020-10-02 21:49:21,8,223
61,UK,2020-10-02 21:49:22,9,224
62,UK,2020-10-02 21:49:23,9,225
63,UK,2020-10-02 21:49:23,8,226
64,UK,2020-10-02 21:49:24,8,227
65,UK,2020-10-02 21:49:24,11,228
66,UK,2020-10-02 21:49:25,12,229
67,UK,2020-10-02 21:49:25,8,230
68,UK,2020-10-02 21:49:26,8,231
69,UK,2020-10-02 21:49:26,10,232
